numero,piso,metraje,prorrateo,estacionamiento,bodega,owner_rut,owner_nombre,owner_email,owner_fono,tenant_rut,tenant_nombre,tenant_email,tenant_fono,broker_rut,broker_nombre,broker_email,broker_fono
1402,14,90.0,2.229,E-158,B-297,17.410.567-1,Elena Perez,contacto@mail.com,+56911112222,29.418.123-3,Elena Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1403,14,70.2,0.685,E-247,B-227,16.437.781-3,Jose Rojas,contacto@mail.com,+56911112222,16.437.781-3,Jose Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1404,14,70.2,1.339,E-152,B-283,11.957.330-5,Jose Gomez,contacto@mail.com,+56911112222,27.352.757-9,Maria Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1405,14,140.5,1.51,E-243,B-112,14.465.996-3,Roberto Perez,contacto@mail.com,+56911112222,14.465.996-3,Roberto Perez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1406,14,50.5,0.883,E-208,B-213,20.512.679-5,Maria Gomez,contacto@mail.com,+56911112222,24.257.290-7,Carlos Gonzalez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1407,14,50.5,1.492,E-257,B-247,19.174.175-2,Roberto Gonzalez,contacto@mail.com,+56911112222,25.106.878-4,Elena Gomez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1408,14,140.5,1.108,E-182,B-170,13.496.195-8,Ana Muñoz,contacto@mail.com,+56911112222,13.496.195-8,Ana Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1409,14,70.2,2.389,E-107,B-149,17.250.751-6,Carlos Diaz,contacto@mail.com,+56911112222,29.589.768-1,Ana Perez,residente@mail.com,+56933334444,76.123.456-K,Gestión Global,contacto@propiedades.cl,+5622222222
1410,14,50.5,2.182,E-219,B-169,16.345.971-3,Luis Gomez,contacto@mail.com,+56911112222,16.345.971-3,Luis Gomez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1501,15,140.5,1.29,E-117,B-170,11.339.472-7,Carlos Rojas,contacto@mail.com,+56911112222,30.454.953-1,Maria Diaz,residente@mail.com,+56933334444,76.123.456-K,Gestión Global,contacto@propiedades.cl,+5622222222
1502,15,70.2,2.32,E-241,B-225,14.328.968-2,Roberto Muñoz,contacto@mail.com,+56911112222,29.898.904-7,Roberto Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1503,15,90.0,0.992,E-244,B-229,11.407.945-5,Carlos Diaz,contacto@mail.com,+56911112222,27.731.645-0,Jose Muñoz,residente@mail.com,+56933334444,76.123.456-K,City Home,contacto@propiedades.cl,+5622222222
1504,15,140.5,1.576,E-246,B-244,11.553.719-5,Roberto Diaz,contacto@mail.com,+56911112222,22.159.509-8,Carlos Gomez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1505,15,90.0,1.734,E-113,B-147,13.972.338-7,Luis Diaz,contacto@mail.com,+56911112222,13.972.338-7,Luis Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1506,15,140.5,2.483,E-253,B-298,10.618.821-7,Elena Gonzalez,contacto@mail.com,+56911112222,21.195.536-5,Carlos Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1507,15,90.0,0.527,E-236,B-155,19.588.282-8,Ana Silva,contacto@mail.com,+56911112222,27.474.964-6,Maria Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1508,15,90.0,1.0,E-124,B-202,14.783.955-4,Luis Muñoz,contacto@mail.com,+56911112222,14.783.955-4,Luis Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1509,15,50.5,0.871,E-243,B-273,10.156.632-4,Ana Gonzalez,contacto@mail.com,+56911112222,25.351.315-1,Luis Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
1510,15,70.2,2.432,E-294,B-253,17.697.792-5,Elena Silva,contacto@mail.com,+56911112222,17.697.792-5,Elena Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
